"TITEL";"DATIERUNG";"GATTUNG";"MATERIAL";"KUENSTLER";"STANDORT";"Easting";"Northing";"Easting_WGS";"Northing_WGS";"ID_IMAGES"
Ignaz-Heim-Denkmal;1883;Freiplastik;Stein;Baptist Hoerbst (1850-1927);Heimplatz (bei Heimplatz 6);2683845.317;1247225.132;8.54873714039397;47.3705315284223;kir2818
Large Reclining Figure;1957;Freiplastik;Bronze (Plastik), Stein (Sockel);Henry Moore (1898-1986);Vorplatz Kunsthaus (bei Heimplatz 1);2683790.773;1247224.432;8.5480149431643;47.3705321707244;kir3718
Le chant des voyelles;1931-1932 (platziert 1948);Freiplastik;Bronze (Plastik), Stein (Sockel);Jacques Lipchitz (1891-1973);Vorplatz Kunsthaus (bei Heimplatz 1);2683791.473;1247218.752;8.54802314680432;47.3704809993894;kir3607
"Manessebrunnen";1929 (platziert 1930);Brunnen;Granit;Arnold Hünerwadel (1877-1945), Johann Rigendinger (1893-1945);Oberer Hirschengraben (bei Hirschengraben 7);2683696.545;1247266.604;8.54677541503096;47.3709234136576;kir2859
[Männlicher Akt];1944 (platziert 1945);Bauplastik;Stein;Ernst Suter (1904-1987);Stützmauer Hirschengraben (vis-à-vis Seilergraben 33);2683632.931;1247687.303;8.54601187136031;47.3747149897117;kir3699
[Brunnentrog mit Relief "Möve"];1939;Brunnen;Collombey-Marmor;Luigi Zanini (1896-1968), Emil Schäfer (1878-1958);Schifflände (bei Utoquai 4a);2683589.827;1246671.161;8.54525147512023;47.3655819152093;kir4202
"Die Schreitende";1942 (platziert 1946);Freiplastik;Bronze;Otto Charles Bänninger (1897-1973);Sechseläutenplatz (bei Schillerstrasse);2683710.448;1246650.399;8.54684425454634;47.3653798845115;kir3672
Meilenstein Berlin/Zürich;1959;;Castione-Granit;Otto Münch (1885-1965);Bahnhofbrücke/Limmatquai (bei Bahnhofbrücke 1);2683418.889;1247900.821;8.54321790235971;47.3766623661823;kir4338
"Amazonenbrunnen" (auch bekannt als "Dianabrunnen", "Schellenbrunnen");um 1430 (Brunnenfigur um 1577, erneuert 1748 und 1917);Brunnen;Stein;KünstlerIn nicht bekannt, Friedrich Schäfer (1709-1786), Hermann Baldin (1877-1953), Hans Gisler (1889-1969);Rennweg/Strehlgasse (bei Rennweg 2);2683209.348;1247415.453;8.54035339844883;47.3723237676066;kir3861
"Augustinerbrunnen" (auch bekannt als "Hygieia-Brunnen", "Temperentiabrunnen");1577 (erneuert 1761/1915/1950/1992);Brunnen;Stein;KünstlerIn nicht bekannt, Hermann Baldin (1877-1953), Walter Scheuermann  (1891-1971), Hans Gisler (1889-1969), Johannes Wyl;Münzplatz (bei Münzplatz 1);2683145.312;1247385.637;8.53950010716347;47.3720637040236;kir3863
[Brunnen mit "wasserspeiendem Schwan"] (fünfteiliges Werk);1933;Brunnen;Bronze (Wasserspeier), Stein (Trog);Emil Schäfer (1878-1958);Stadthausanlage/Bürkliplatz (Anfang Bahnhofstrasse);2683236.692;1246788.165;8.5405987705078;47.366678873396;kir4347
[Brunnenfigur "Die tapferen Zürcherinnen von 1292"] (auch bekannt als "Lindenhofbrunnen");1912;Brunnen;Bronze (Plastik), Eisen, Stein (Säule, Trog);Gustav Siber (1864-1927);Lindenhof (bei Lindenhof 4);2683274.336;1247482.922;8.54122630592627;47.3729223320095;kir3581
[Brunnenplastik];1974;Brunnen;Stahl;Charlotte Germann-Jahn (1921-1988);St. Peterhofstatt (bei St. Peterhofstatt 6);2683227.54;1247345.867;8.54058129942945;47.3716956571526;kir3782
Der grosse Aufschwung;1979;Freiplastik;Chromnickelstahl;Silvio Mattioli (1929-2011);Paradeplatz (bei Bahnhofstrasse 21);2683134.135;1247099.316;8.53929896855083;47.3694901203522;kir3802
Ganymed;1946-1952;Freiplastik;Bronze (Plastik), Stein (Sockel);Hermann Hubacher (1885-1976);Bürkli-Terrasse (am Bürkliplatz);2683284.494;1246714.851;8.54121790263405;47.3660134927844;kir3680
"Geiserbrunnen" (auch bekannt als "Stierbändigerbrunnen");1911;Brunnen;Kalkstein;Jakob Brüllmann (1872-1938), Jean Freytag;Bürkliplatz (bei Lochmannstrasse 2);2683309.141;1246831.085;8.541565784993;47.3670557151846;kir3575
Hans-Waldmann-Denkmal;1932-1937;Freiplastik;Bronze (Plastik), Sandstein (Sockel);Hermann Haller (1880-1950);Stadthausquai (bei Münsterbrücke);2683342.582;1247138.515;8.54206568494124;47.3698163227051;kir3651
"Herkulesbrunnen";um 1732 (erneuert 1915/1947/1984);Brunnen;Hartsandstein;KünstlerIn nicht bekannt, Hans Gisler (1889-1969), Joseph von  Wyl;Platzanlage Bahnhofstrasse/Rennweg/Oetenbachgasse (bei Bahnhofstrasse 66);2683074.409;1247600.165;8.53860126111246;47.3740019774138;kir3862
"Brauerbrunnen";1953 (platziert 1954);Brunnen;Guntliweider Hartsandstein;Emilio Stanzani (1906-1977);Eingang Brauerei Hürlimann (bei Brandschenkestrasse 158);2682148.351;1246486.784;8.52613675191424;47.3641049887399;kir3709
[Brunnen];nicht datiert;Freiplastik;Stein;Walter Valentin Mettler (1868-1942);Platzanlage Grütlistrasse/Schulhausstrasse (Grütlistrasse/Schulhausstrasse);2682545.29;1246165.835;8.53133174476299;47.361168965526;kir4376
[Brunnen mit "wasserspeiendem Schwan"] (fünfteiliges Werk);1929;Brunnen;Bronze (Wasserspeier), Stein (Trog);Emil Schäfer (1878-1958);Alfred-Escher-Strasse/Seestrasse (bei Seestrasse 3);2682603.425;1246650.832;8.53219068087334;47.3655234604327;kir4345
[Brunnenfigur "Rufender Knabe"];1932;Brunnen;Bronze (Plastik), Stein (Brunnen);Ida Schär-Krause (1877-1957);Seestrasse/Strandbadweg (bei Seestrasse/Strandbadweg);2682673.237;1245453.812;8.53289381697906;47.3547494028997;kir3622
[Brunnenschale];1943;Brunnen;Granit;Paul Speck (1896-1966);Gartenhof im Kongresshaus (bei Claridenstrasse 3);2683076.875;1246655.9;8.53845868447927;47.3655095277806;kir4007
"Bürgli-Brunnen";1906;Brunnen;St. Imier-Kalkstein;Heinrich Emil Schneebeli, Alfred Friedrich Bluntschli (1842-1930);Bürglistrasse/Felsenkellerweg (bei Bürglistrasse 10);2682377.41;1246338.604;8.52914147385353;47.362743753687;kir4355
[Büste];nicht bekannt;Freiplastik;Marmor (Skulptur), Sandstein (Sockel);KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682453.115;1245898.773;8.53006255373675;47.358778700851;kir3002
[Büste];nicht bekannt;Freiplastik;Marmor (Skulptur), Sandstein (Sockel);KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682480.608;1245901.052;8.53042685305242;47.3587957571033;kir4423
[Büste];nicht bekannt;Freiplastik;Marmor (Skulptur), Sandstein (Sockel);KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682457.816;1245899.2;8.53012485175844;47.3587819529635;kir4424
[Büste];nicht bekannt;Freiplastik;Marmor (Skulptur), Sandstein (Sockel);KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682452.352;1245883.693;8.53004967902011;47.3586431753916;kir3005
[Büste von Richard Wagner];1885;Freiplastik;Bronze (Plastik), Sandstein (Sockel);Fritz Schaper (1841-1919);Rieterpark (bei Gablerstrasse 14);2682434.909;1245988.316;8.52983807198139;47.359586276559;kir2993
"Delphinbrunnen";1770 (versetzt 1873);Brunnen;Muschelkalk;KünstlerIn nicht bekannt, Johann Rigendinger (1893-1945);Freigutstrasse/Parkring (bei Freigutstrasse 15);2682549.933;1246889.034;8.5315265223325;47.3676724098721;kir3866
"Delphinbrunnen";1770 (versetzt 1873);Brunnen;Stein;KünstlerIn nicht bekannt;Rieterpark (bei Scheideggstrasse 27);2682440.114;1245726.536;8.52985877859261;47.3572313255015;kir3867
Der Kalbträger;1927-1928 (platziert 1960);Freiplastik;Bronze (Plastik), Stein (Sockel);Alice Boner (1889-1981);Rieterpark (bei Seestrasse 104);2682546.096;1245865.1;8.53128698407265;47.3584642273002;kir2845
"Dianabrunnen";1926;Brunnen;Bronze (Plastik), Muschelkalk (Reliefs), Stein (Brunnentrog);Eduard Zimmermann (1872-1949);Steinhaldenplatz (bei Steinhaldenstrasse 73);2682304.98;1245747.387;8.52807411478359;47.357435735001;kir3619
Doppelfigur;1969;Freiplastik;Eisen;Kurt Laurenz Metzler (*1941);Fussgängerzone bei Ulmbergtunnel (bei Bleicherweg 74/Tunnelstrasse 2);2682602.683;1246702.089;8.53219031483985;47.3659845284554;kir3762
[Drei Flamingos];1935 (versetzt 1951);Freiplastik;Bronze;Estrid Christensen (1884-1968);Belvoirpark (bei Seestrassse 137);2682711.586;1245675.134;8.53344220868693;47.3567350363237;kir2973
Drei Obelisken;ca. 1975 (platziert 1988);Freiplastik;Beton;Peter  Storrer (*1928);Alfred-Escher-Strasse/Mythenquai (bei Alfred-Escher-Strasse 99);2682831.587;1245761.579;8.53504638862849;47.3574974041491;kir3823
[Figur und Pferd];nicht bekannt;Freiplastik;Stein;KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 14);2682442.771;1245994.568;8.52994328079205;47.3596415201317;kir4135
"Fischerbrunnen";1909;Brunnen;Bronze (Plastik), Sandstein (Brunnentrog);Walter Valentin Mettler (1868-1942);Seepromenade (bei Mythenquai 61);2682876.981;1245979.943;8.53568758570776;47.3594555373785;kir3567
[Flora];1887;Brunnen;Bronze (Plastik), Stein (Sockel, Brunnen);KünstlerIn nicht bekannt;Bederstrasse/Waffenplatzstrasse (bei Bederstrasse 97);2682167.821;1246220.28;8.52634557012377;47.3617057783714;kir2824
[Friedhofhalle mit zwei Reliefs];1958 (platziert 1959);Bauplastik;Stein;Josef Nauer (1906-1987);Belvoirpark (bei Alfred-Escher-Strasse 85);2682769.003;1245891.173;8.53424203627796;47.3586707595584;kir4339
[Ganswürger];um 1855;;Mamor;KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682470.872;1245884.354;8.53029491889357;47.3586468030827;kir3003
Ganymeds Schwester;2003;Brunnen;Beton;Christoph Haerle (*1958);Seepromemade (bei General-Guisan-Quai/Claridenstrasse);2683145.059;1246632.335;8.53935686075876;47.3652889998535;kir2867
Gottfried-Keller-Denkmal;1963 (platziert 1964);Installation;Marmor;Otto Charles Bänninger (1897-1973);Hafen Enge (bei Mythenquai 61);2682889.395;1245913.716;8.53583963444722;47.3588583692333;kir3735
Grabmal Guido Otto Wesendonck;ca. 1860;Freiplastik;Marmor (Skulptur), Stein (Sockel);KünstlerIn nicht bekannt;Villa Wesendonck (bei Gablerstrasse 15);2682432.934;1245923.841;8.52980006482048;47.3590066723236;kir3007
[Granit-Brunnentrog mit Relief "Fische"];1937;Brunnen;Granit;Luigi Zanini (1896-1968);Seestrasse/Brunaustrasse (bei Seestrasse 156);2682602.624;1245627.857;8.53199139505764;47.3563235175368;kir4078
[Grosse Steinamphore];nicht bekannt;Freiplastik;Stein;Arnold Hünerwadel (1877-1945);Belvoirpark (bei Alfred-Escher-Strasse 85);2682756.471;1245855.986;8.53406966966563;47.3583558815507;kir3834
"Immerwährendes Glück";nicht bekannt (platziert 2004);Freiplastik;Bronze;Yuan Xiaocen (*1915);Belvoirpark (bei Mythenquai 100);2682738.474;1245533.742;8.53377194978065;47.3554600628112;kir3860
Iris-Brunnen;1990;Brunnen;Granit;Paul Sieber (*1942);Belvoirpark (bei Seestrasse 161);2682686.465;1245583.205;8.53309276608195;47.355911431007;kir3821
Kakteen;1984;Freiplastik;Eisen, angerostet;John A. Tobler;Sukkulentensammlung (bei Mythenquai 88);2682826.543;1245648.056;8.5349586386735;47.3564770773445;kir2875
Lago Montagna (auch bekannt als "Tessinerplatzbrunnen");2006;Brunnen;Maggia-Gneis;Horst Bohnet (*1962);Tessinerplatz (bei Tessinerplatz 7);2682568.49;1246496.909;8.53169986248869;47.3641435456036;kir3853
"Leuenbrunnen";1933;Brunnen;Bronze (Plastik), Stein (Sockel, Brunnen);Otto Münch (1885-1965);Bleicherwegbrücke (bei Bleicherweg 7);2682985.819;1246980.312;8.53731350297716;47.3684385648293;kir3624
"Löwe von San Marco" und "Venedig-Brunnen";1980;Brunnen;Istrischer Kalkstein;KünstlerIn nicht bekannt;ehem. Venedigstrasse (bei General-Wille-Strasse 21);2682610.041;1246434.365;8.53223832167562;47.3635758548189;kir3807
[Mann mit Falke];1934-1946 (platziert 1950);Freiplastik;Bronze (Plastik), Stein (Sockel);Werner Friedrich Kunz (1896-1981);Rieterpark (bei Seestrasse 110);2682500.673;1245766.253;8.53066759075161;47.3575809407027;kir3633
[Marmorbüste];nicht bekannt;Freiplastik;Marmor (Skulptur), Sandstein (Sockel);KünstlerIn nicht bekannt;Rieterpark (bei Gablerstrasse 15);2682479.802;1245878.07;8.53041195309387;47.3585891709948;kir3006
Muschel;1969-1972;Freiplastik;Polyester;Annemie Fontana (1925-2002);Strandbad Mythenquai (bei Mythenquai 95);2682838.53;1245270.447;8.53504745276041;47.3530795704275;kir3759
[Ohne Titel];1967;Freiplastik;Bronze (Plastik), Stein (Sockel, Brunnen);Max Kestenholz (*1920);Alfred-Escher-Strasse/General-Wille-Strasse (bei General-Wille-Strasse 10);2682683.463;1246426.674;8.53320875484853;47.3634974794741;kir3750
"Quellnymphe";1887 (platziert 1894);Brunnen;Bronze (Plastik), Granit (Sockel, Brunnen);Richard Kissling (1848-1919);Rieterplatz (bei Rieterstrasse 9/15);2682156.255;1245635.187;8.52608515492469;47.3564452248817;kir2820
Richard-Wagner-Stele;1953 (platziert 1954);Freiplastik;Castione-Granit;Franz Fischer (1900-1980);Rieterpark (bei Scheideggstrasse 27);2682453.055;1245729.536;8.53003060461841;47.3572566871393;kir3702
"Schauende";1923;Freiplastik;Bronze (Plastik), Stein (Sockel);Hermann Haller (1880-1950);Belvoirpark (bei Seestrasse 125);2682725.527;1245736.71;8.5336380882326;47.3572870661386;kir3614
"Sitzende Figur";1948 (platziert 1949);Freiplastik;Bronze (Plastik), Stein (Sockel);Fritz Wotruba (1907-1975);Rieterpark (bei Gablerstrasse 15);2682415.935;1245835.454;8.52955881174358;47.358213895779;kir3601
[Sphinxe];nicht bekannt;Freiplastik;Stein;KünstlerIn nicht bekannt;Villa Wesendonck, Terrasse (bei Gablerstrasse 15);2682491.022;1245936.147;8.53057114995805;47.3591100781914;kir3004
[Stehende weibliche Figur];1936 (versetzt 1973);Freiplastik;Bronze (Plastik), Beton (Sockel);Alfons Magg (1891-1967);Belvoirpark (bei Seestrasse 157);2682677.453;1245621.44;8.53298055290923;47.3562564252599;kir3646
Unendlichkeit;1954;Brunnen;Kunststein;Katharina Sallenbach (1920-2013);Strandbad Mythenquai (bei Mythenquai 111);2682825.726;1245407.981;8.53490343469193;47.3543180823375;kir4396
Ungarn-Denkmal;1999;Freiplastik;Holz, Metall;KünstlerIn nicht bekannt;Arboretum (bei General-Guisan-Quai 22);2682986.818;1246515.467;8.53724057228743;47.3642579036865;kir2982
[Vier Figuren];nicht bekannt;Freiplastik;Marmor (Skulpturen), Stein (Sockel);KünstlerIn nicht bekannt;Villa Wesendonck (bei Gablerstrasse 15);2682481.984;1245926.329;8.53044971996363;47.3590229117843;kir2991
[Wandbrunnen mit Vogelrelief];1932;Brunnen;Andeer-Granit;Hans Markwalder (1882-1951), Emil Schäfer (1878-1958);Scheideggstrasse/Brunaustrasse (bei Scheideggstrasse 44);2682397.644;1245544.322;8.52926316990589;47.3555979058865;kir3561
[Zierbrunnen mit Floragöttin];1887 (versetzt 1923);Brunnen;Bronze (Plastik), Stein (Sockel, Brunnen);KünstlerIn nicht bekannt;Grütlistrasse/Seestrasse (bei Seestrasse 92);2682597.689;1245919.67;8.53197989527203;47.358948535322;kir3868
"Zürileu";1894;Freiplastik;Kunststein;Urs  Eggenschwyler (1849-1923);Hafendamm Enge (bei Mythenquai 61);2682983.064;1245992.758;8.53709402248861;47.3595574407141;kir2825
"Zwei Frauen";1961;Freiplastik;Hartsandstein;Otto Kappeler (1884-1949);Klopstockwiese (bei Bederstrasse 110);2682007.284;1246199.091;8.52421680669971;47.3615352106997;kir4332
"Junobrunnen";1872 (erneuert 1944/1995);Brunnen;Stein;Joseph Regl (1846-1911), Johann Rigendinger (1893-1945), Horst Bohnet (*1962), Romano Fenaroli;Züghusplatz (bei Bahnhofstrasse 28a);2683140.561;1247165.986;8.53939641715983;47.3700888985483;kir2810
[Wandbrunnen mit wasserspeiender Bronzemaske];1954;Brunnen;Bronze;Max Kestenholz (*1920);Platzanlage Rollengasse (bei Rollengasse 2);2683271.264;1247406.151;8.54117135516397;47.3722322899778;kir4238
"Winzerbrunnen" (auch bekannt als "Buttenmännchenbrunnen");1908;Brunnen;Bronze, Hartsandstein;David Theiler, Joseph Regl (1846-1911);Weinplatz (bei Weinplatz 2);2683318.822;1247308.329;8.54178275306332;47.3713465286247;kir3565
"Zentralhofbrunnen";1877;Brunnen;Gusseisen;KünstlerIn nicht bekannt;Zentralhof (bei Bahnhofstrasse 22);2683195.033;1247075.639;8.54010073603266;47.3692694987473;kir2815
[Brunnentrog mit Fischrelief];nicht bekannt;Brunnen;Stein;Luigi Zanini (1896-1968);Häringplätzli (bei Häringstrasse 3);2683479.479;1247705.454;8.5439836621058;47.3748976868702;kir4369
"Drachenbrunnen";um 1900;Brunnen;Stein;KünstlerIn nicht bekannt;Villa Tobler (bei Winkelwiese 4);2683667.893;1247189.272;8.54638165738238;47.3702315768359;kir4199
"Fischmarktbrunnen" (auch bekannt als "Samsonbrunnen");um 1555/1837/1915;Brunnen;Bronze, Stein;Hans Lynz (ca. 1500-1559), Bildhauer Frey, Johann Rigendinger (1893-1945), Horst Bohnet (*1962), Romano Fenaroli;Rüdenplatz (bei Limmatquai 46);2683415.168;1247272.134;8.54305148025085;47.3710088246587;kir2808
"Froschauerbrunnen";1551/1873/1908/1955;Brunnen;Stein;KünstlerIn nicht bekannt, Joseph Regl (1846-1911), Otto Münch (1885-1965);Predigerplatz (bei Predigerplatz 18);2683578.274;1247564.457;8.5452653143823;47.3736171260932;kir3870
[Fünf Poller];2009-2010;Freiplastik;Eisen, angerostet;Barbara Roth (*1950), Fariba Sepehrnia (*1961), Jan Morgenthaler (*1956), Martin Senn (*1960);Limmatquai/Uraniabrücke und Rathaus (bei Limmatquai 94 und Limmatquai 55);2683395.231;1247629.795;8.54285417873435;47.374227925857;kir4182
"Hechtplatzbrunnen";1760/1935-1942;Brunnen;Stein;Philipp Widmer, Salvatore Francesco Romerio (1885-1943);Hechtplatz (bei Schifflände 12);2683539.773;1246996.666;8.54464964332912;47.3685156529302;kir3580
"Hintermünsterbrunnen";1861/1976;Brunnen;Stein;Johann Jakob Breitinger (1814-1880), Joseph von  Wyl;Grossmünsterkapelle (bei Zwingliplatz 4/5);2683539.989;1247193.501;8.54468923202698;47.3702858367318;kir2805
"Klausbrunnen" (auch bekannt als "Samichlausbrunnen");1910 (erneuert 1973);Brunnen;Stein;Arnold Hünerwadel (1877-1945);Platzanlage Neustadtgasse/Frankengasse (bei Neustadtgasse/Frankengasse);2683592.774;1247121.424;8.54537455096563;47.3696309276364;kir3570
L'étrangère (ehemals "Jupiterbrunnen", heute "Nikebrunnen");1992;Brunnen;Bronze, Stein;Barbara Roth (*1950), Thomas Ehrler (*1948);Neumarkt (bei Neumarkt 4);2683611.577;1247436.539;8.54568231979997;47.3724624880032;kir3827
[Mauerbrunnen];1910 (versetzt 1957);Brunnen;Bronze (Plastik), Tessiner-Granit (Brunnen);Paul Osswald (1883-1952);Platzanlage Ankengasse (Ankengasse 4-10);2683460.021;1247308.327;8.54365200811221;47.3713286426475;kir4377
"Napfbrunnen";1576 (versetzt 1876);Brunnen;Stein;Hans Lynz (ca. 1500-1559), Arnold Hünerwadel (1877-1945), Johann Rigendinger (1893-1945);Napfplatz (bei Napfgasse/Spiegelgasse);2683519.978;1247350.074;8.54445353400135;47.371696492494;kir3578
"Pelikanbrunnen";1725 (versetzt 1959);Brunnen;Kupfer, Sandstein;KünstlerIn nicht bekannt, Franz Purtschert (1925-1981);Leuengasse (bei Leuengasse 12/Spiegelgasse 16);2683567.959;1247401.04;8.54509824624358;47.3721487654687;kir4342
Rosenhofbrunnen;1967;Brunnen;Blaubank-Muschelkalk;Peter Meister (1934-1999), Max Frisch (1911-1991);Rosenhof (zwischen Schweizerhofgasse/Weingasse);2683429.814;1247482.602;8.54328459451738;47.3728997874519;kir2911
"Stüssibrunnen";1575/1919;Brunnen;Messing, Eisen, Sandstein;KünstlerIn nicht bekannt, Hans Gisler (1889-1969), Romano Fenaroli, Wilhelm Hartung (1879-1957);Stüssihofstatt (bei Stüssihofstatt 13);2683462.494;1247439.495;8.54370920227988;47.3725079718929;kir2809
"Waldmannbrunnen" (auch bekannt als "Rämibrunnen");1932-1934 (platziert 1935);Brunnen;Muschelkalk;Eduard Zimmermann (1872-1949);Rämistrasse/Waldmannstrasse (bei Rämistrasse 17);2683686.302;1246973.327;8.54658499303338;47.3682871652745;kir3638
"Aphrodite";1921 (platziert 1931);Freiplastik;Bronze (Plastik), Granit (Sockel);Einar Utzon-Frank (1888-1955);Arboretum (bei General-Guisan-Quai 26);2682966.543;1246504.884;8.53697023734104;47.3641652791551;kir3610
Arnold-Bürkli-Gedenkstein;1899;Freiplastik;Bronze, Marmor, Granit;Baptist Hoerbst (1850-1927);Arboretum (bei General-Guisan-Quai 30);2682951.59;1246433.516;8.53675908868312;47.363525320096;kir2963
"Bluntschlibrunnen";1909;Brunnen;Marmor (Brunnen), Mosaiksteine (Wandverkleidung);Alfred Friedrich Bluntschli (1842-1930), Joseph Regl (1846-1911), Heinrich Emil Schneebeli;Seepromenade (bei General-Guisan-Quai 17 );2683031.223;1246556.627;8.53783598010622;47.3646224792305;kir3566
"Brunnen der Ewigkeit";1990;Brunnen;Jurakalk (Skulptur), schwarzer Marmor (Sockel);Donatella Richtman Cinquini (*1948);Friedhof Leimbach, Gemeinschaftsgrab (bei Stotzstrasse 100);2681157.527;1242954.779;8.51238174039406;47.3324627120991;kir4158
"Katzenbrünneli" (auch bekannt als "Leimbacher Brünneli");1916/1941;Brunnen;Bronze (Plastik), Stein (Brunnen);Alfred Schuhmacher (1883-1981), Karl Stutz;Leimbachstrasse/Wegackerstrasse (bei Leimbachstrasse 93);2681469.73;1242857.434;8.51649413909302;47.3315487421805;kir3211
Kulturamboss 80;nicht bekannt;Freiplastik;Stein (Skulptur), Beton (Sockel);Armin Wanger (1920-2010);Vorplatz Wirtshaus (bei Risweg 1);2681165.214;1242514.068;8.51240365072615;47.328498217607;kir3426
"Auferstehung";1937 (platziert 1941);Freiplastik;Bronze (Plastik), Stein (Sockel);Emilio Stanzani (1906-1977);Friedhof Manegg, Terrasse Feld O1 (bei Thujastrasse 64);2682006.646;1244426.48;8.52388386308386;47.345593397819;kir3082
Axiomat;1989-1990;Freiplastik;Eisen;Florin Granwehr (*1942);Schiffländesteg Wollishofen (bei Bachstrasse 7);2682954.318;1244460.403;8.53642980192777;47.3457799249078;kir3824
"Blondatbrunnen" (auch bekannt als "Märchenbrunnen");1905 (versetzt 1929);Brunnen;Bronze (Plastiken), Stein (Brunnen);Max Blondat (1872-1925);Kilchbergstrasse/Kilchbergsteig (bei Kilchbergstrasse 14);2682717.892;1244138.457;8.53324195741824;47.3429142214659;kir3562
[Brunnen mit "Eichhörnchen"];1936;Brunnen;Bronze (Plastik), Stein (Brunnen);Ida Schär-Krause (1877-1957), Emil Schäfer (1878-1958);Friedhof Manegg, zw. Felder L1 und L2 (bei Rainstrasse 69);2682122.07;1244370.917;8.52540098142174;47.3450793263905;kir3084
[Brunnen mit Granitkopf];1939;Brunnen;Granit;Leo Berger (1885-1983 );Bahnunterführung Wollishofen (bei Seestrasse 386);2682864.084;1244223.791;8.53519206167768;47.3436633122786;kir4309
[Brunnen mit Relief "Hund und Katze"];1935;Brunnen;Laufener Kalkstein;Paul Vogelsanger (1880-1967), Emil Schäfer (1878-1958);Morgentalstrasse/Mutschellenstrasse (bei Morgentalstrasse 2);2682453.342;1244276.672;8.52976701646147;47.3441903908538;kir3644
[Brunnen mit separater Steinfigur];1933;Brunnen;Solothurner Kalkstein;Heinrich Ganz (1897-1963);Platzanlage Nidelbadstrasse/Westbühlstrasse (bei Westbühlstrasse 7);2682899.516;1242908.686;8.53541765809146;47.3318314930082;kir3091
[Brunnen mit "Wasserschöpferin"];1938;;Bronze (Plastik), Stein (Brunnen);Ida Schär-Krause (1877-1957);Friedhof Manegg, Feld Q1 (bei Morgenthalstrasse 70);2682006.816;1244259.29;8.52385551626581;47.3440897574516;kir3083
[Brunnentrog];1948;Brunnen;Stein;Uli Schoop (1903-1990);Kalchbühlstrasse/Studackerstrasse (bei Kalchbühlstrasse 75);2682651.984;1243636.941;8.53227741454146;47.3384121161034;kir4378
"Die Lebensalter";1938;Freiplastik;Marmor;Leo Berger (1885-1983 );Friedhof Manegg (bei Thujastrasse 60);2682068.162;1244269.052;8.5246690171701;47.3441699185797;kir3085
[Liegender Engel] (Ehrengrabmal Otto Kappeler);1943 (platziert 1949);Freiplastik;Stein;Otto Kappeler (1884-1949);Friedhof Manegg (bei Thujastrasse 60);2681840.294;1244444.335;8.52168593759396;47.345774647067;kir3080
"Mädchen im Wind";1936 (platziert 1939);Brunnen;Bronze (Plastik), Granit (Sockel und Brunnentrog);Otto Münch (1885-1965);Seepromenade (bei Mythenquai 320);2682798.852;1244811.27;8.53443749412576;47.3489549735284;kir3647
"Mädchen mit erhobenen Armen" (auch bekannt als "Landi-Figur");1939 (platziert 1968);Freiplastik;Bronze (Plastik), Beton (Sockel);Hermann Haller (1880-1950);Landiwiese (bei Mythenquai 317);2682901.048;1244845.004;8.53579608562824;47.3492455151227;kir3659
"Monumentalbrunnen";1906;Brunnen;St. Imier-Kalkstein;Alfred Friedrich Bluntschli (1842-1930), Heinrich Emil Schneebeli;Bellariastrasse/Kappelistrasse (bei Bellariastrasse 38);2682491.751;1245129.565;8.53043225859061;47.3518560427918;kir4356
[Mutter mit Kind];nicht bekannt;Freiplastik;Bronze (Plastik), Stein (Sockel);Ida Schär-Krause (1877-1957);Friedhof Manegg, Feld F (bei Thujastrasse 64);2681922.594;1244646.231;8.52281185514759;47.3475801719343;kir3096
Othmar-Schoeck-Brunnen;1969;Brunnen;Neapolitanischer Marmor;Peter Meister (1934-1999);Mutschellenstrasse/Bellariastrasse (bei Mutschellenstrasse 137);2682381.599;1244548.315;8.52886767198563;47.3466423712984;kir3761
"Posaunenengel";1962 (platziert 1963);Freiplastik;Bronze (Plastik), Beton (Sockel);Alfred Huber (1908-1982 );Friedhof Manegg, Gemeinschaftsgrab (bei Thujastrasse 60);2681846.413;1244499.236;8.52177693291998;47.3462676382956;kir3086
"Sitzende";1939-1941 (platziert 1942);Freiplastik;Jurakalk (Skulptur), Granit (Sockel);Otto Charles Bänninger (1897-1973);Auf der Egg (bei Eggweg 4);2682683.598;1243891.745;8.53274268269387;47.3406997261702;kir3095
[Trinkbrunnen Tramendstation Wollishofen];1965;Brunnen;Stein;Armin Wanger (1920-2010);Wollishoferplatz (bei Albisstrasse 105);2682532.416;1243640.592;8.53069616665728;47.3384599280747;kir3100
[Wandbrunnen mit Relief];1926;Brunnen;Stein;Hochbauamt der Stadt Zürich;Stützmauer Seestrasse/Haumesserstrasse (bei Seestrasse 280/290);2682631.925;1244890.399;8.53224315778687;47.3496875604126;kir3909
"Pilgerbrunnen";1931 (platziert 1933);Brunnen;Oggione-Hartsandstein;Walter Arnold Gygi (1882-1958), Hermann Herter (1877-1945), Joseph von  Wyl;Stützmauer Stampfenbachstrasse (bei Stampfenbachstrasse 78 );2683311.951;1248509.846;8.54191544373827;47.382153072988;kir2858
